,artist_name,year,track_name,track_id,track_popularity,artist_id,energy,instrumentalness,key,tempo,time_sig,valence,danceability,acousticness,popularity_level
1367,Beyoncé,2019,Yoncé - Homecoming Live,4rOF3QLIHcKYQ101stNbM8,65,6vWDO969PvNqNYHIOW5v0m,0.646,0.0,9,88.063,4,0.42,0.675,0.0751,Popular
1368,Why Don't We,2019,Big Plans,448hSkxDU1sUQQauBWZVcC,57,2jnIB6XdLvnJUeNTy5A0J2,0.604,0.0,11,75.014,4,0.651,0.693,0.0668,Somewhat Popular
1369,Nicki Minaj,2019,MEGATRON,1ZDmxwg7Lywlx68b7SsJjj,63,0hCNtLu0JehylgoiP8L4Gh,0.641,8.06e-05,1,94.017,4,0.771,0.893,0.128,Somewhat Popular
1370,Samantha Harvey,2019,Get To Know You,3oiLlbBynuErymca4Dwp5H,69,78c7nvjh7AbOgTNV7QKMxZ,0.695,0.0,5,118.004,4,0.69,0.761,0.0783,Popular
1371,Rema,2019,Dumebi,0SjQBdIddPvKSWxr8vk6QX,69,46pWGuE3dSwY3bMMXGBvVS,0.657,0.00407,3,110.015,4,0.734,0.923,0.199,Popular
1372,Freya Ridings,2019,Lost Without You,3cWI6Hj9LQ0MfMuhw9uSMc,68,5pDjmC5mRl7vDJhsjVwNfk,0.136,0.0,6,67.016,3,0.0976,0.386,0.932,Popular
1373,MyKey,2019,Was It Something I Said,65j65yDSE06CNKAPjsHoJt,61,191tnItkCke3YcHpUxDOD9,0.724,0.000166,6,106.994,4,0.837,0.587,0.618,Somewhat Popular
1374,glass beach,2019,cold weather,50u2y4zgROMZq2db8Qx94B,62,4gHs8pWsgZpndQZKs6QVRH,0.661,0.0,10,154.99,4,0.675,0.341,0.00422,Somewhat Popular
1375,Fitz and The Tantrums,2019,I Just Wanna Shine,4GZ3YCkuH0VvTluVLwUp4g,62,4AcHt3JxKy59IX7JNNlZn4,0.918,9.3e-05,6,92.511,4,0.546,0.705,0.04,Somewhat Popular
1376,Khalid,2019,Right Back,5A1w94uzc1kO1Zhe8WWxC3,61,6LuN9FCkKOj5PcnpouEgny,0.427,3.63e-05,5,97.03,4,0.603,0.788,0.0659,Somewhat Popular
1377,Sarah Jeffery,2019,Queen of Mean,4o05DiC0RQ9DNtGJGauwna,66,0uqrdF1UCmMshSk6veOa5K,0.787,0.0,8,173.702,4,0.343,0.543,0.248,Popular
1378,Fruit Bats,2019,The Bottom of It,6tZetCGfhxPh5ZIKCGmaKq,62,6Qm9stX6XO1a4c7BXQDDgc,0.625,0.0196,0,155.987,4,0.305,0.631,0.134,Somewhat Popular
1379,Post Malone,2019,Myself,2cvOfKHOHgwQlLiuLKP2xR,64,246dkjvS1zLTtiykXe5h60,0.701,0.0,0,163.882,4,0.405,0.476,0.102,Somewhat Popular
1380,Florida Georgia Line,2019,Blessings,7dnDBbHKyJNFXoeVwO8KBY,61,3b8QkneNDz4JHKKKlLgYZg,0.672,0.0,4,89.081,4,0.334,0.466,0.737,Somewhat Popular
1381,Rotimi,2019,In My Bed,6XM53PbvlzhuNtJZtpl7RP,70,1xBARhKI09ZTmeePVDWMCf,0.501,5.91e-05,0,103.993,4,0.431,0.637,0.229,Popular
1382,Tech N9ne,2019,Red Kingdom,5buj0D6E7rCRFi3xV9STYo,60,6UBA15slIuadJ8h2lPRPos,0.666,0.0,9,100.042,4,0.32,0.804,0.366,Somewhat Popular
1383,Strawberry Guy,2019,Intermission,4hm33jVolpa22nzhlY72jD,63,1AbJ2cmwK400LSvdvBL5Jc,0.418,0.823,11,98.958,3,0.236,0.444,0.261,Somewhat Popular
1384,Yot Club,2019,Landlord,7FJrIeLwz1qQsgFyYzNW7Q,62,6FugQjLquBF4JzATRN70bR,0.56,0.015,9,90.882,4,0.735,0.526,0.825,Somewhat Popular
1385,awfultune,2019,MINE,51fMzpQpLMmeRP9qpekMRR,63,1vkWdqcabQ1swciXipkLBj,0.0693,1.14e-06,1,67.448,3,0.217,0.693,0.845,Somewhat Popular
1386,Cass McCombs,2019,Absentee,23fEZLdzHoZlNZZu4E1pSp,64,2iUVQjheBnvOt8vaBrxXJz,0.328,0.862,7,0.0,0,0.0,0.0,0.893,Somewhat Popular
1387,NOTD,2019,Keep You Mine,0OJN2A3Qyvd7pwSF0AIteC,67,5jAMCwdNHWr7JThxtMuEyy,0.788,0.000172,10,135.991,4,0.845,0.81,0.267,Popular
1388,Doja Cat,2019,Bottom Bitch,1L0z2CQKrKJ2spYSMkfim9,62,5cj0lLjcoR7YOSnhnX0Po5,0.825,0.000928,6,160.028,4,0.484,0.695,0.00265,Somewhat Popular
1389,Lizzo,2019,Good as Hell (feat. Ariana Grande),2rjjNUYONZqC7wSd1i6OFq,66,56oDRnqbIiwx4mymNEv7dS,0.892,0.0,5,95.927,4,0.478,0.668,0.298,Popular
1390,TOMORROW X TOGETHER,2019,CROWN,0EmYZZ8OqeALedVhijSjsg,67,0ghlgldX5Dd6720Q3qFyQB,0.8,0.0,5,110.979,4,0.58,0.623,0.0497,Popular
1391,Dayglow,2019,Listerine,3X7v1y9g6psZQjZZwtZkm4,62,6eJa3zG1QZLRB3xgRuyxbm,0.583,0.82,11,134.999,4,0.897,0.694,0.17,Somewhat Popular
1392,Joji,2019,Sanctuary,3xaugmCyXrVkrDTXbFkMW3,64,3MZsBdqDrRTJihTHQrO6Dq,0.65,0.000275,1,167.788,4,0.316,0.552,0.422,Somewhat Popular
1393,Morningsiders,2019,Empress,4xWqRo8GPwMQ02LjiaX4D8,61,5hPR4Atp3QY2ztiAcz1inl,0.547,0.00261,0,100.0,5,0.383,0.705,0.33,Somewhat Popular
1394,ILLENIUM,2019,In Your Arms (with X Ambassadors),70YPzqSEwJvAIQ6nMs1cjY,62,45eNHdiiabvmbp4erw26rg,0.806,0.0,2,148.036,4,0.112,0.404,0.198,Somewhat Popular
1395,Billie Eilish,2019,bad guy (with Justin Bieber),3yNZ5r3LKfdmjoS3gkhUCT,67,6qqNVTkY8uBg9cP3Jd7DAH,0.453,0.33,0,135.055,4,0.68,0.67,0.252,Popular
1396,Cynthia Erivo,2019,Stand Up (From Harriet),3wNNbf63xkxw9rIVWtFy7a,70,46UMQ0cW8ToR8egkBRwAxZ,0.32,0.0,0,80.02,4,0.177,0.616,0.268,Popular
1397,Virginia To Vegas,2019,Just Friends,02Ygu8lo3qSknRpcBnspso,62,3v9wPA58IVrX2dg6AjSPgi,0.714,0.0,7,100.036,4,0.794,0.793,0.156,Somewhat Popular
1398,Ariana Grande,2019,MONOPOLY (with Victoria Monét),6tsOcBnaKgzK22yEiqRh8P,64,66CXWjxzNUsdJxJ2JdwvnR,0.507,3.14e-05,0,143.96,4,0.695,0.892,0.704,Somewhat Popular
1399,Lana Del Rey,2019,Season Of The Witch,5DSi7heBC8eTIFROBvttnp,63,00FQb4jTyendYWaN8pK0wa,0.205,0.0272,2,95.984,4,0.355,0.674,0.896,Somewhat Popular
1400,Hozier,2019,Say My Name - Recorded at Spotify Studios NYC,2xbuycY0MolcTZGENc4PuK,59,2FXC3k01G6Gw61bmprjgqS,0.462,1.83e-05,0,117.41,4,0.376,0.607,0.52,Somewhat Popular
1401,Morningsiders,2019,How Good It Is,4XGlpZw4XyOAisQrpodzPn,61,5hPR4Atp3QY2ztiAcz1inl,0.392,5.43e-05,0,113.186,3,0.237,0.649,0.578,Somewhat Popular
1402,Lizzo,2019,Soulmate,6h2wpo2pshM8QnAvRySEO0,62,56oDRnqbIiwx4mymNEv7dS,0.849,0.00127,7,99.021,4,0.767,0.693,0.00466,Somewhat Popular
1403,Strawberry Guy,2019,Birch Tree,2isf9DCebk6mUhGagcD5bf,62,1AbJ2cmwK400LSvdvBL5Jc,0.619,0.297,8,114.392,4,0.164,0.491,0.226,Somewhat Popular
